budget,risposta,lambda
20,515.8755187933107,18.970533768302175
30,688.5016928788698,15.44116583735979
40,831.3326926404885,13.025541701733687
50,956.1421206933198,11.867794282853083
60,1070.3712983503183,10.90880077624388
70,1175.6845741542706,10.093205503070294
80,1273.3735628318288,9.391082778985265
90,1364.468068378085,8.780292756275003
100,1449.802388131083,8.244100645463504
110,1530.0618688139925,7.769627797839348
120,1605.8163797281595,7.346798246827348
130,1677.5448850471228,6.96761469678836
140,1745.6538039020122,6.625650966235526
150,1810.490959209285,6.315683263795336
160,1872.3563285608977,6.033422826807282
170,1931.5104367651293,5.775311833147043
180,1988.1809823995118,5.538379141494261
190,2042.5681328616672,5.320120869411994
200,2094.8487896781126,5.118412534628533
210,2145.1800626066015,4.931440847378326
220,2193.7021138118866,4.757645423896065
230,2240.4335179565614,4.571362714506449
240,2285.356156624532,4.398043106758905
250,2328.6037686623167,4.237386209601482
260,2370.2036929745855,4.048952362240016
270,2409.7749593656085,3.837655795025512
280,2446.9336206366447,3.5738972296367137
290,2481.613135375955,3.3440629717506454
300,2498.1224585321397,0.0
