giorno,domanda,temperatura,prezzo,weekend,follower,pioggia,indice_borsa,giorno_del_mese,sciopero
1,135,23.6,2.2,0,14.0,0.5,100.7,14,0
2,143,20.3,2.2,0,8.1,9.7,97.3,24,0
3,187,12.3,2.2,0,10.9,5.2,114.5,7,0
4,130,18.4,2.6,0,9.5,8.3,105.9,11,0
5,99,24.9,3.4,0,11.1,10.5,111.6,23,0
6,191,10.5,3.0,1,18.7,10.2,98.7,14,0
7,78,31.0,3.4,0,8.4,10.7,106.2,11,0
8,96,30.5,3.0,0,14.1,6.7,103.6,8,0
9,162,11.1,2.6,0,15.3,5.4,99.4,3,0
10,67,29.3,3.4,0,11.0,10.4,95.6,23,0
11,141,14.4,3.4,0,11.1,9.2,103.6,7,0
12,19,26.7,3.4,0,10.2,6.6,100.2,18,1
13,148,13.7,3.4,0,14.2,9.9,107.7,2,0
14,120,26.6,2.2,0,17.5,7.3,98.2,5,0
15,113,33.0,2.2,0,12.4,5.7,109.3,3,0
16,97,33.6,2.2,0,13.7,9.8,102.5,26,0
17,98,25.9,3.0,0,18.9,6.4,110.3,8,0
18,178,13.9,3.4,1,13.5,10.1,95.7,25,0
19,154,19.5,2.2,0,18.4,2.5,102.2,15,0
20,148,16.7,2.6,0,19.4,0.6,104.6,26,0
21,94,32.9,2.2,0,13.1,3.3,110.0,17,0
22,135,17.2,3.0,0,10.3,5.0,104.3,25,0
23,19,23.5,3.4,0,14.5,6.0,99.8,10,1
24,135,19.8,2.2,0,8.7,11.1,105.5,13,0
25,178,13.3,2.2,0,9.0,0.9,111.3,23,0
26,149,19.2,2.2,0,19.1,3.0,97.8,12,0
27,90,28.5,2.6,0,11.7,8.8,98.9,3,0
28,129,19.9,3.4,0,15.9,11.2,95.7,22,0
29,111,26.3,2.6,0,11.7,2.6,112.7,9,0
30,24,24.0,2.6,0,9.5,1.4,109.3,5,1
31,151,11.8,3.4,0,19.6,9.1,109.0,23,0
32,158,27.5,2.2,1,17.9,9.5,111.7,1,0
33,84,26.2,3.0,0,14.4,8.8,111.8,15,0
34,85,29.2,3.4,0,19.4,11.1,107.8,20,0
35,163,13.6,2.6,0,14.4,1.5,113.1,10,0
36,91,33.4,2.2,0,12.7,8.0,111.8,13,0
37,98,30.8,3.4,1,14.1,8.2,97.1,23,0
38,88,31.7,2.2,0,18.2,8.4,114.5,28,0
39,88,33.1,2.6,0,12.7,10.8,106.9,20,0
40,122,24.9,3.0,0,11.9,0.3,108.5,13,0
41,129,18.9,2.2,0,12.0,11.5,111.0,22,0
42,24,11.4,3.0,0,13.8,6.6,114.3,22,1
43,120,26.8,2.2,0,18.8,2.1,113.6,25,0
44,125,25.2,2.2,0,13.0,7.0,95.4,8,0
45,127,25.6,2.2,0,14.8,2.4,101.0,4,0
46,174,10.2,3.0,0,16.2,9.7,111.7,19,0
47,19,32.7,2.6,0,19.2,9.4,97.4,19,1
48,124,19.3,2.6,0,15.7,9.1,97.4,12,0
49,155,11.7,3.0,0,12.8,8.9,97.7,27,0
50,92,33.7,3.4,1,14.3,9.5,107.1,23,0
51,124,27.7,3.4,1,12.1,3.0,111.4,19,0
52,139,22.6,2.6,0,17.7,6.0,111.5,24,0
53,98,28.4,3.4,0,15.3,11.4,97.9,2,0
54,114,29.3,3.0,0,19.7,7.7,101.0,21,0
55,166,26.0,2.2,1,15.6,6.6,112.5,9,0
56,143,18.4,3.0,0,16.1,9.7,105.9,3,0
57,160,17.7,2.2,0,11.3,3.1,98.4,14,0
58,132,26.1,3.0,1,16.3,10.3,103.2,24,0
59,191,13.5,2.6,1,19.8,6.6,113.8,22,0
60,167,14.8,2.2,0,12.8,10.2,114.7,13,0
