budget,scarto_medio,prezzo_ombra,temperatura,prezzo,weekend,follower,pioggia,indice_borsa,giorno_del_mese
0.0,26.2,-21.56647604697841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.41829511561951,-21.496884320463472,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.636590231239023,-21.496884320463472,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,23.861910794717733,-20.5991510484208,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,23.112850756593335,-20.5991510484208,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,22.3723730923942,-19.951947991831908,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,21.646847710873036,-19.951947991831908,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,20.921322329351877,-19.951947991831908,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,20.208368039730885,-19.22123486342509,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,19.509799655936344,-18.664501051305614,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,18.83109052679796,-18.664501051305614,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,18.17078010147521,-16.618504291766516,-11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,17.585153967294538,-16.07568882495002,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,17.000583464569083,-16.07568882495002,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,16.425508762735593,-15.69989350176937,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.873117931676802,-14.099283791925865,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,15.400636451634162,-10.96765609875378,-16.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,15.002620509768718,-10.787086096443103,-16.899989215391116,0.0,0.0,0.0,-0.1000107846088838,0.0,0.0
18.0,14.613878570324847,-10.658023255771665,-17.278676235701926,-0.4114388222449913,0.0,0.0,-0.30988494205308403,0.0,0.0
19.0,14.226314088296787,-10.658023255771663,-17.72150035992336,-0.9606728553614118,0.0,0.0,-0.3178267847152258,0.0,0.0
20.0,13.83874960626873,-10.658023255771663,-18.164324484144796,-1.5099068884778322,0.0,0.0,-0.32576862737737106,0.0,0.0
21.0,13.453097345631853,-10.531177595391217,-18.6204692451185,-1.9081880417305195,0.0,0.0,-0.4713427131509795,0.0,0.0
22.0,13.07724938731589,-10.279071859515186,-19.144911301807223,-1.5325066835189376,0.0,0.0,-1.322582014673841,0.0,0.0
23.0,12.704898982502868,-10.237729884195353,-19.713405616550137,-1.7207452945742188,0.0,0.0,-1.565849088875647,0.0,0.0
24.0,12.340841765463653,-8.897094087709815,-20.250658175876506,-2.0176442634456566,0.06361999505140092,0.0,-1.6680775656264368,0.0,0.0
25.0,12.017311071365116,-8.897094087709814,-20.614289670256408,-2.4226709482765645,0.4447036101144102,0.0,-1.5183357713526173,0.0,0.0
26.0,11.700907270724985,-8.321074175301861,-20.84683248763028,-2.8006148022689534,0.7937874866837156,0.0,-1.55876522341705,0.0,0.0
27.0,11.42960625735652,-7.383833370530823,-21.28135766999201,-3.2145335409740516,1.1864801689528004,0.0,-1.3176286200811407,0.0,0.0
28.0,11.16320734946665,-7.285618303955914,-21.70028712960529,-3.6321260053518047,1.5821922079598447,0.0,-1.085394657083062,0.0,0.0
29.0,10.898621642607226,-7.270887853531321,-22.068815647776006,-4.042777687600182,1.969038070366464,0.0,-0.9193685942573478,0.0,0.0
30.0,10.63422572066063,-7.2708878535313195,-22.432447142155905,-4.447804372431084,2.35012168542948,0.0,-0.7696267999835316,0.0,0.0
31.0,10.369829798714038,-7.270887853531319,-22.7960786365358,-4.852831057261986,2.7312053004924985,0.0,-0.6198850057097154,0.0,0.0
32.0,10.105433876767446,-7.27088785353132,-23.159710130915702,-5.2578577420928925,3.1122889155555074,0.0,-0.47014321143589755,0.0,0.0
33.0,9.845951283046457,-7.062826764724997,-23.52247034375624,-5.567671483270527,3.4879937164612853,0.0,-0.4218644565119475,0.0,0.0
34.0,9.589121218874638,-7.0628267647249965,-23.8847601829676,-5.826083173759314,3.8607946886716453,0.0,-0.42836195460144005,0.0,0.0
35.0,9.332291154702821,-7.0628267647249965,-24.247050022178964,-6.084494864248104,4.233595660881999,0.0,-0.43485945269093274,0.0,0.0
36.0,9.083633956860215,-6.757756323766117,-24.342430925465617,-6.152527521504803,5.068471488641039,0.0,-0.43657006438853957,0.0,0.0
37.0,8.83789736326872,-6.757756323766116,-24.342430925465617,-6.152527521504803,6.068471488641039,0.0,-0.43657006438853957,0.0,0.0
38.0,8.592160769677223,-6.757756323766116,-24.342430925465617,-6.152527521504803,7.068471488641039,0.0,-0.43657006438853957,0.0,0.0
39.0,8.353005540439991,-6.194258183453483,-24.491764904818886,-6.259043470547421,7.8099433254714254,0.0,-0.43924829916226765,0.0,0.0
40.0,8.131649941881966,-5.99949131648239,-24.831885933268328,-6.40103833906926,7.9979393696851995,0.0,-0.769136357977213,0.0,0.0
41.0,7.914673363803668,-5.434263509990214,-25.079274318320437,-6.402150324007379,8.180671356512235,0.0,-1.3379040011599477,0.0,0.0
42.0,7.719541345172602,-5.062995130916504,-25.45018961420319,-6.641372470268335,8.403148193588956,0.0,-1.4519084528530446,0.0,-0.05338126908647332
43.0,7.535606706337005,-4.991651116294579,-25.64273713004028,-6.825498242586447,8.755588421231142,0.0,-1.440954005394435,0.0,-0.3352222007476955
44.0,7.354092120289932,-4.991651116294577,-26.022606687396735,-7.17555006624432,9.041663434540688,0.0,-1.2686879443100523,0.0,-0.4914918675082072
45.0,7.188095339405438,-4.19677047268832,-26.978405998915882,-8.217632132069774,9.09108989058755,0.0,-0.6251392916665888,0.0,-0.08773268676020507
46.0,7.035700088857657,-4.170094939201625,-27.10240177005319,-8.664924903233727,9.409754109146338,0.0,-0.7171614037811519,0.0,-0.10575781378559258
47.0,6.884227564601916,-4.146681972224278,-27.089297976447707,-9.087489949783496,9.759653127815564,0.0,-0.9403676563645071,0.0,-0.12319128958872556
48.0,6.737665935360907,-2.9028259689705704,-26.984275759831927,-9.220159629802898,10.179490380672329,0.0,-1.214444182291625,0.0,-0.40163004740122066
49.0,6.651433538786156,-2.1216376319257946,-27.03110790486062,-9.18908400676818,10.385112067318214,0.3540958532775924,-1.3165615010014649,0.0,-0.7240386667739281
50.0,6.5742830794434,-2.1216376319257946,-26.982184371702235,-8.801810934417913,10.628786885480375,0.5433521104292075,-1.81351887667913,0.0,-1.2303468212911388
51.0,6.502294733800226,-1.9653134104036951,-27.08879060267864,-9.103363640653548,10.74807776463198,0.6116305797894945,-1.4696414719873727,0.3914147455572642,-1.587081194701702
52.0,6.440486595073697,-0.8161197802428954,-27.067566346402614,-9.547187850647129,10.88306040450126,0.6878200826611631,-0.9911080110331006,0.8534096473243045,-1.9698476574304342
53.0,6.41859090898901,0.0,-27.401929564740648,-9.800938710105285,10.976955031473736,0.6201155637616068,-0.7319153953000797,1.192662907029934,-2.1737651265318725
54.0,6.41859090898901,0.0,-27.401929564740648,-9.800938710105285,10.976955031473736,0.6201155637616068,-0.7319153953000797,1.192662907029934,-2.1737651265318725
55.0,6.41859090898901,0.0,-27.401929564740648,-9.800938710105285,10.976955031473736,0.6201155637616068,-0.7319153953000797,1.192662907029934,-2.1737651265318725
56.0,6.41859090898901,0.0,-27.401929564740648,-9.800938710105285,10.976955031473736,0.6201155637616068,-0.7319153953000797,1.192662907029934,-2.1737651265318725
57.0,6.41859090898901,0.0,-27.401929564740648,-9.800938710105285,10.976955031473736,0.6201155637616068,-0.7319153953000797,1.192662907029934,-2.1737651265318725
58.0,6.41859090898901,0.0,-27.401929564740648,-9.800938710105285,10.976955031473736,0.6201155637616068,-0.7319153953000797,1.192662907029934,-2.1737651265318725
59.0,6.41859090898901,0.0,-27.401929564740648,-9.800938710105285,10.976955031473736,0.6201155637616068,-0.7319153953000797,1.192662907029934,-2.1737651265318725
