budget,social,search,TV,influencer
20,6.4065778970001075,8.69191079074345,0.0,4.901511312250835
30,9.539111927925145,13.270223896709457,1.7698668968880494e-12,7.190664175367304
40,12.671633665904716,17.84853656041139,0.0,9.479829773677205
50,14.66901559271498,20.767783042375846,3.6237524947774418,10.939448870131404
60,16.59494375261551,23.582607421415446,7.475591753730104,12.346857072240738
70,18.52087749639351,26.397423081741383,11.327434648014503,13.754264773849117
80,20.44679702553669,29.212220995562465,15.179301276776306,15.161680702129495
90,22.372720335730502,32.02701605295316,19.031188547794756,16.569075063520554
100,24.298640404728058,34.84183626889143,22.88300347509293,17.976519851291343
110,26.22455499100938,37.65669568069902,26.734836654593234,19.38391267369934
120,28.150526698573167,40.47142766125603,30.586743637952566,20.791302002218814
130,30.076416385173964,43.286317530075266,34.438586928006856,22.198679156742518
140,32.002358383452695,46.10114848898463,38.290375802901295,23.606117324662552
150,33.928306409694,48.91591785442356,42.14224271162039,25.01353302425924
160,35.854167119497134,51.73077088536121,45.99412188836259,26.420940106771724
170,37.78013476223747,54.54560550904156,49.84590229973571,27.828357428983313
180,39.70604779974357,57.36029525339504,53.69785512933688,29.235801817536736
190,41.63192024709746,60.17524934741256,57.54964448301657,30.643185922471357
200,43.557857213844315,62.99007843574923,61.40150043423551,32.0505639161724
210,45.48375880315805,65.80482943406744,65.253410060833,33.4580017019399
220,47.409932187266534,68.61971017166927,69.10511277045657,34.86524487061146
230,49.62098358597648,71.85135798464077,73.52765842939148,34.999999999999766
240,51.86227993597885,75.12733786535777,78.0103821986605,34.999999999999616
250,54.103770767304475,78.40311209382132,82.49311713887406,34.999999999999936
260,56.904747679920625,79.99999999999811,88.09525232007599,34.99999999999986
270,60.0,80.0,95.0000000000072,35.0
280,60.0,80.0,105.00000000000492,35.0
290,59.99999999999991,79.99999999999919,114.99999999999906,34.99999999999987
300,59.999999999999936,79.9999999999997,119.99999999999976,34.99999999999992
