ora,prezzo_cent,base,totcosto,totpicco
0,9.0,22.0,28.61052631578947,68.0
1,8.0,20.0,60.4,60.4
2,7.000000000000001,19.0,103.4,55.400000000000006
3,7.000000000000001,19.0,103.4,41.0
4,8.0,20.0,78.9263157894737,27.694736842105268
5,10.0,24.0,24.0,30.399999999999995
6,14.000000000000002,35.0,35.0,43.842105263157904
7,18.0,48.0,48.0,68.0
8,20.0,60.0,60.0,60.0
9,19.0,63.0,63.0,63.0
10,17.0,65.0,65.0,65.0
11,16.0,64.0,64.0,64.0
12,15.0,62.0,62.0,62.0
13,15.0,61.0,61.0,61.0
14,16.0,62.0,62.0,62.0
15,18.0,64.0,64.0,64.0
16,21.0,66.0,66.0,66.0
17,24.0,68.0,68.0,68.0
18,26.0,62.0,62.0,62.0
19,24.0,55.0,55.0,55.0
20,20.0,45.0,45.0,45.0
21,15.0,36.0,36.0,58.0
22,12.0,30.0,30.0,52.0
23,10.0,25.0,25.0,68.0
